amenity,latitude,longitude,name
hospital,3.6575605,31.7147646,MOYO MISSION
hospital,3.6488735,31.7182250,HEALTH CENTRE II
hospital,6.0461028,31.5025207,MSF Hospital
hospital,4.8460768,31.5790696,Nyakuron Health Center
hospital,4.8446931,31.5752554,Al Amin Hospital
hospital,9.2224805,29.1763538,Mayom Primary Health Care Centre
hospital,6.5508718,30.5025521,Yirol Hospital
hospital,10.0677134,34.5431512,Assosa Hospital
hospital,13.8228603,33.5392581,مستشفي ود الحداد التخصصي
hospital,14.7264294,33.3525065,مستشفي اربجي الريفي
hospital,14.7265909,33.3526576,مستشفي اربجي الريفي
hospital,15.5996416,32.5347739,مستشفى جعفر بن عوف للأطفال
hospital,15.5993861,32.5292426,مركز زين الطبي
hospital,15.5981035,32.5294337,مستشفى الأنف والأذن والحنجرة
hospital,15.5975651,32.5295667,مستشفى الذرة
hospital,15.6035021,32.5349506,مركز الخرطوم التخصصي للاورام
hospital,15.5988147,32.5350627,مستشفى الشعب التعليمي
hospital,15.6017758,32.5310686,مركز الاستشارات الجلدية
hospital,15.5986960,32.5298443,مستشفى الفيصل التخصصي
hospital,15.5986224,32.5294018,مستشفى المنيرة الجراحي
hospital,15.6009015,32.5300615,مستشفى براءة للأطفال
hospital,15.6031233,32.5301051,الصندوق القومي للتأمين الصحي الولايات بالظبط
hospital,15.6003527,32.5275709,مجمع عيادات فتح الرحمن البشير
hospital,15.6031131,32.5296415,الصندوق القومي للتأمين الصحي الولايات
hospital,15.5974361,32.5301186,معمل استاك
hospital,15.5983662,32.5293444,مستشفى الخرطوم
hospital,15.5920684,32.5369269,مركز اسباين كير لتقويم العمود الفقري
hospital,15.5921492,32.5418067,مستشفى الامل الوطني الخرطوم 2
hospital,15.5948128,32.5397958,المركز الطبي الحديث
hospital,15.6010508,32.5301939,مستشفى اهل الحضرة الخاص
hospital,15.5995517,32.5330726,مستوصف البلسم
hospital,15.5999737,32.5326266,مجمع سبأ الطبي
hospital,15.5991879,32.5313208,برج الامل
hospital,15.6019779,32.5298245,مركز النيلين للتشخيص الطبي
hospital,15.6029802,32.5361491,مستشفى امبريال
hospital,15.6004710,32.5332813,مستشفى الزيتونة
hospital,15.6005355,32.5314632,مركز الحكمة الطبي
hospital,15.6012167,32.5295160,المركز الدولي للسمع المتطور
hospital,15.6009754,32.5303827,مركز طب الاسنان الحديث
hospital,15.5988399,32.5297281,مستشفى الفيصل التخصصي
hospital,15.6010664,32.5320962,مستشفى مودة الطبي
hospital,15.5994836,32.5342100,مستشفى الشريف
hospital,15.5985699,32.5300353,مستشفى ابن الهيثم
hospital,15.5989531,32.5302261,مستشفى انطاليا
hospital,15.5987428,32.5292745,مستشفى المنيرة
hospital,15.6027118,32.5387373,مركز دكتورة سلمي لغسيل الكلي
hospital,2.3204184,32.3856127,AMWA H/C II
hospital,10.4438775,32.2007857,Melut County Hospital
hospital,8.2515888,34.5929327,Gambella Primary Hospital
hospital,11.7460498,32.8152092,Renk Military Hospital
hospital,6.8100041,29.6796311,Lakes State Hospital
hospital,9.3981876,28.8240973,مستشفى بيمنم
hospital,7.7004066,27.9952314,Comboni Hospital
hospital,8.5267229,32.0614095,Medicines Sans Frontieres Lankien
hospital,3.4761565,31.6112915,LEGU HEALTH CENTRE 11
hospital,3.4761023,31.6113366,BELAMELING
hospital,3.5241315,31.8017448,ARRA
hospital,3.0032230,32.1454490,PABO HC III
hospital,3.2742325,33.2236733,OMIYA ANYIM HC II
hospital,3.5562366,31.7774971,GBALALA H/C II
hospital,3.5563452,31.7775420,GBALALA
hospital,3.4373969,31.9132882,ELEMA
hospital,3.2593174,32.1234532,ATIAK HC IV
