name1,name2,distance
Ad Damazin,Adjumani,1830.36
Adjumani,Akobo,694.28
Akobo,Al Mayom,1320.34
Al Mayom,Aweil,201.12
Aweil,Ayod,1201.64
Ayod,Bor,239.24
Bor,Cueibet,635.73
Cueibet,Duk_Fadiat,854.13
Duk_Fadiat,Fangak,251.01
Fangak,Fashada,2008.94
Fashada,Gambela,484.81
Gambela,Gulu,1022.82
Gulu,Jewi,1062.15
Jewi,Juba,1008.06
Juba,Kakuma,517.94
Kakuma,Kapoeta,228.57
Kapoeta,Khartoum,1676.04
Khartoum,Kiryandongo,1923.58
Kiryandongo,Kule,1183.46
Kule,Lainya,1098.4
Lainya,Lekr,155.47
Lekr,Lolimi,435.47
Lolimi,Magwi,311.88
Magwi,Malakal,1479.24
Malakal,Malut,177.14
Malut,Maridi,1623.35
Maridi,Mayom,638.84
Mayom,Melut,1188.43
Melut,Mongalla,983.35
Mongalla,Mundri,599.35
Mundri,Mvolo,126.72
Mvolo,Nasir,1879.83
Nasir,Pariang,1423.94
Pariang,Pibor,1208.28
Pibor,Pochalla,1315.76
Pochalla,Pugnido,10.92
Pugnido,Renk,627.61
Renk,Rhino,1920.59
Rhino,Rubkona,1004.0
Rubkona,Rumbek,313.34
Rumbek,Tambura,470.45
Tambura,Terakeka,791.4
Terakeka,Tierkidi,1078.8
Tierkidi,Torit,879.19
Torit,Wau,739.78
Wau,West Kordofan,1033.37
West Kordofan,Wunagak,1320.02
Wunagak,Yei,1677.2
Yei,Yirol,422.65
Yirol,Ad Damazin,1415.01
