name1,name2,distance
Ad Damazin,Adjumani,1830.36
Ad Damazin,Akobo,2172.09
Ad Damazin,Al Mayom,1087.61
Ad Damazin,Aweil,1249.49
Ad Damazin,Ayod,2116.2
Ad Damazin,Bor,1881.5
Ad Damazin,Cueibet,1361.8
Ad Damazin,Duk_Fadiat,2056.85
Ad Damazin,Fangak,2303.31
Ad Damazin,Fashada,346.51
Ad Damazin,Gambela,516.25
Ad Damazin,Gulu,1529.27
Ad Damazin,Jewi,539.22
Ad Damazin,Juba,1658.72
Ad Damazin,Kakuma,1308.49
Ad Damazin,Kapoeta,1222.3
Ad Damazin,Khartoum,533.55
Ad Damazin,Kiryandongo,1629.75
Ad Damazin,Kule,618.26
Ad Damazin,Lainya,1739.28
Ad Damazin,Lekr,1785.57
Ad Damazin,Lolimi,1159.47
Ad Damazin,Magwi,1783.71
Ad Damazin,Malakal,395.8
Ad Damazin,Malut,228.44
Ad Damazin,Maridi,1527.68
Ad Damazin,Mayom,1044.93
Ad Damazin,Melut,269.19
Ad Damazin,Mongalla,1103.66
Ad Damazin,Mundri,1502.24
Ad Damazin,Mvolo,1393.54
Ad Damazin,Nasir,630.1
Ad Damazin,Pariang,943.21
Ad Damazin,Pibor,2057.54
Ad Damazin,Pochalla,624.91
Ad Damazin,Pugnido,617.92
Ad Damazin,Renk,119.69
Ad Damazin,Rhino,1965.05
Ad Damazin,Rubkona,1001.27
Ad Damazin,Rumbek,1306.53
Ad Damazin,Tambura,1484.85
Ad Damazin,Terakeka,1592.99
Ad Damazin,Tierkidi,566.69
Ad Damazin,Torit,1347.9
Ad Damazin,Wau,1262.95
Ad Damazin,West Kordofan,1003.73
Ad Damazin,Wunagak,441.13
Ad Damazin,Yei,1697.02
Ad Damazin,Yirol,1415.01
Adjumani,Akobo,694.28
Adjumani,Al Mayom,1009.38
Adjumani,Aweil,919.49
Adjumani,Ayod,629.86
Adjumani,Bor,407.13
Adjumani,Cueibet,618.03
Adjumani,Duk_Fadiat,576.56
Adjumani,Fangak,821.56
Adjumani,Fashada,1537.7
Adjumani,Gambela,1057.55
Adjumani,Gulu,157.28
Adjumani,Jewi,1096.68
Adjumani,Juba,190.26
Adjumani,Kakuma,457.5
Adjumani,Kapoeta,370.64
Adjumani,Khartoum,1726.17
Adjumani,Kiryandongo,268.57
Adjumani,Kule,1106.98
Adjumani,Lainya,182.96
Adjumani,Lekr,50.33
Adjumani,Lolimi,428.46
Adjumani,Magwi,132.96
Adjumani,Malakal,1586.97
Adjumani,Malut,1412.41
Adjumani,Maridi,340.61
Adjumani,Mayom,949.02
Adjumani,Melut,1442.72
Adjumani,Mongalla,502.17
Adjumani,Mundri,373.48
Adjumani,Mvolo,466.09
Adjumani,Nasir,1219.14
Adjumani,Pariang,984.84
Adjumani,Pibor,587.46
